kind,step,loss,lr,grad_norm
avg,3040,0.035,2e-05,0.34
avg,3060,0.0287,2e-05,0.31
avg,3080,0.0324,2e-05,0.31
avg,3100,0.0441,2e-05,0.35
avg,3120,0.0432,2e-05,0.3
avg,3140,0.0295,2e-05,0.37
avg,3160,0.0433,2e-05,0.31
avg,3180,0.0311,2e-05,0.35
avg,3200,0.0403,2e-05,0.38
avg,3220,0.0484,2e-05,0.29
avg,3240,0.037,2e-05,0.3
avg,3260,0.0447,2e-05,0.3
avg,3280,0.0315,2e-05,0.3
avg,3300,0.0385,2e-05,0.32
avg,3320,0.0262,2e-05,0.31
avg,3340,0.0434,2e-05,0.32
avg,3360,0.0399,2e-05,0.33
avg,3380,0.0396,2e-05,0.33
avg,3400,0.0334,2e-05,0.3
avg,3420,0.041,2e-05,0.35
avg,3440,0.0676,2e-05,0.34
avg,3460,0.0342,2e-05,0.3
avg,3480,0.0506,2e-05,0.36
avg,3500,0.0485,2e-05,0.32
avg,3520,0.0293,2e-05,0.3
avg,3540,0.0326,2e-05,0.34
avg,3560,0.0346,2e-05,0.34
avg,3580,0.0355,2e-05,0.28
avg,3600,0.0321,2e-05,0.32
avg,3620,0.0317,2e-05,0.31
avg,3640,0.0312,2e-05,0.28
avg,3660,0.0359,2e-05,0.29
avg,3680,0.0379,2e-05,0.34
avg,3700,0.0457,2e-05,0.36
avg,3720,0.0404,2e-05,0.36
avg,3740,0.0323,2e-05,0.31
avg,3760,0.0295,2e-05,0.31
avg,3780,0.044,2e-05,0.34
avg,3800,0.0312,2e-05,0.35
avg,3820,0.0361,2e-05,0.33
avg,3840,0.0439,2e-05,0.35
avg,3860,0.046,2e-05,0.31
avg,3880,0.0298,2e-05,0.34
avg,3900,0.046,2e-05,0.34
avg,3920,0.0356,2e-05,0.31
avg,3940,0.0417,2e-05,0.35
avg,3960,0.0449,1.99e-05,0.34
avg,3980,0.042,1.99e-05,0.3
avg,4000,0.0293,1.99e-05,0.32
avg,4020,0.0341,1.99e-05,0.33
avg,4040,0.0351,1.99e-05,0.32
avg,4060,0.0384,1.99e-05,0.3
avg,4080,0.029,1.99e-05,0.34
avg,4100,0.0278,1.99e-05,0.33
avg,4120,0.0338,1.99e-05,0.33
avg,4140,0.0353,1.99e-05,0.33
avg,4160,0.038,1.99e-05,0.31
avg,4180,0.0397,1.99e-05,0.38
avg,4200,0.0348,1.99e-05,0.31
avg,4220,0.0338,1.99e-05,0.31
avg,4240,0.0407,1.99e-05,0.32
avg,4260,0.0322,1.99e-05,0.31
avg,4280,0.0337,1.99e-05,0.29
avg,4300,0.0281,1.99e-05,0.34
avg,4320,0.0339,1.99e-05,0.32
avg,4340,0.0322,1.99e-05,0.36
avg,4360,0.0363,1.99e-05,0.38
avg,4380,0.0317,1.99e-05,0.34
avg,4400,0.0265,1.99e-05,0.32
avg,4420,0.0291,1.99e-05,0.3
avg,4440,0.0385,1.99e-05,0.32
avg,4460,0.0346,1.99e-05,0.33
avg,4480,0.0404,1.99e-05,0.33
avg,4500,0.0358,1.99e-05,0.32
avg,4520,0.0408,1.99e-05,0.33
avg,4540,0.0308,1.99e-05,0.32
avg,4560,0.0337,1.99e-05,0.33
avg,4580,0.0372,1.99e-05,0.36
avg,4600,0.0287,1.99e-05,0.29
avg,4620,0.0348,1.99e-05,0.33
avg,4640,0.0358,1.99e-05,0.31
avg,4660,0.045,1.99e-05,0.38
avg,4680,0.0453,1.99e-05,0.32
avg,4700,0.0418,1.99e-05,0.34
avg,4720,0.0373,1.99e-05,0.37
avg,4740,0.027,1.99e-05,0.31
avg,4760,0.0298,1.99e-05,0.3
avg,4780,0.0496,1.99e-05,0.33
avg,4800,0.0334,1.99e-05,0.33
avg,4820,0.0388,1.99e-05,0.35
avg,4840,0.0421,1.99e-05,0.34
avg,4860,0.0373,1.99e-05,0.35
avg,4880,0.0305,1.99e-05,0.35
avg,4900,0.0336,1.99e-05,0.32
avg,4920,0.0385,1.99e-05,0.32
avg,4940,0.0322,1.99e-05,0.31
avg,4960,0.0284,1.99e-05,0.33
avg,4980,0.042,1.99e-05,0.35
avg,5000,0.0341,1.99e-05,0.35
avg,5020,0.0282,1.99e-05,0.34
avg,5040,0.0406,1.99e-05,0.39
avg,5060,0.0277,1.99e-05,0.34
avg,5080,0.0354,1.99e-05,0.37
avg,5100,0.0304,1.99e-05,0.4
avg,5120,0.0427,1.99e-05,0.38
avg,5140,0.0374,1.99e-05,0.35
avg,5160,0.0485,1.99e-05,0.37
avg,5180,0.0282,1.99e-05,0.31
avg,5200,0.028,1.99e-05,0.37
avg,5220,0.0383,1.99e-05,0.33
avg,5240,0.0408,1.99e-05,0.32
