kind,step,loss,lr,grad_norm
instant,15704,0.0261,,
instant,15704,0.0261,,
instant,15705,0.0629,,
instant,15705,0.0629,,
instant,15706,0.0208,,
instant,15706,0.0208,,
instant,15707,0.0479,,
instant,15707,0.0479,,
instant,15708,0.0397,,
instant,15708,0.0397,,
instant,15709,0.0213,,
instant,15709,0.0213,,
instant,15710,0.0565,,
instant,15710,0.0565,,
instant,15711,0.0241,,
instant,15711,0.0241,,
instant,15712,0.0857,,
instant,15712,0.0857,,
instant,15713,0.0537,,
instant,15713,0.0537,,
instant,15714,0.1006,,
instant,15714,0.1006,,
instant,15715,0.0364,,
instant,15715,0.0364,,
instant,15716,0.0458,,
instant,15716,0.0458,,
instant,15717,0.0121,,
instant,15717,0.0121,,
instant,15718,0.019,,
instant,15718,0.019,,
instant,15719,0.011,,
instant,15719,0.011,,
instant,15720,0.0038,,
instant,15720,0.0038,,
instant,15721,0.0093,,
instant,15721,0.0093,,
instant,15722,0.0132,,
instant,15722,0.0132,,
instant,15723,0.0121,,
instant,15723,0.0121,,
instant,15724,0.1317,,
instant,15724,0.1317,,
instant,15725,0.0275,,
instant,15725,0.0275,,
instant,15726,0.0132,,
instant,15726,0.0132,,
instant,15727,0.0587,,
instant,15727,0.0587,,
instant,15728,0.0098,,
instant,15728,0.0098,,
instant,15729,0.0587,,
instant,15729,0.0587,,
instant,15730,0.0138,,
instant,15730,0.0138,,
instant,15731,0.0623,,
instant,15731,0.0623,,
instant,15732,0.0654,,
instant,15732,0.0654,,
instant,15733,0.0406,,
instant,15733,0.0406,,
instant,15734,0.0219,,
instant,15734,0.0219,,
instant,15735,0.0332,,
instant,15735,0.0332,,
instant,15736,0.0285,,
instant,15736,0.0285,,
instant,15737,0.0461,,
instant,15737,0.0461,,
instant,15738,0.0297,,
instant,15738,0.0297,,
instant,15739,0.0042,,
instant,15739,0.0042,,
instant,15740,0.0101,,
instant,15740,0.0101,,
instant,15741,0.0292,,
instant,15741,0.0292,,
instant,15742,0.0095,,
instant,15742,0.0095,,
instant,15743,0.0103,,
instant,15743,0.0103,,
instant,15744,0.0361,,
instant,15744,0.0361,,
instant,15745,0.0171,,
instant,15745,0.0171,,
instant,15746,0.0253,,
instant,15746,0.0253,,
instant,15747,0.0082,,
instant,15747,0.0082,,
instant,15748,0.0103,,
instant,15748,0.0103,,
instant,15749,0.0246,,
instant,15749,0.0246,,
instant,15750,0.0187,,
instant,15750,0.0187,,
instant,15751,0.0495,,
instant,15751,0.0495,,
instant,15752,0.0174,,
instant,15752,0.0174,,
instant,15753,0.0222,,
instant,15753,0.0222,,
instant,15754,0.0123,,
instant,15754,0.0123,,
instant,15755,0.016,,
instant,15755,0.016,,
instant,15756,0.0274,,
instant,15756,0.0274,,
instant,15757,0.0201,,
instant,15757,0.0201,,
instant,15758,0.047,,
instant,15758,0.047,,
instant,15759,0.0295,,
instant,15759,0.0295,,
instant,15760,0.0488,,
instant,15760,0.0488,,
instant,15761,0.0284,,
instant,15761,0.0284,,
instant,15762,0.0305,,
instant,15762,0.0305,,
instant,15763,0.0082,,
instant,15763,0.0082,,
instant,15764,0.0443,,
instant,15764,0.0443,,
instant,15765,0.0154,,
instant,15765,0.0154,,
instant,15766,0.0402,,
instant,15766,0.0402,,
instant,15767,0.0051,,
instant,15767,0.0051,,
instant,15768,0.0201,,
instant,15768,0.0201,,
instant,15769,0.0298,,
instant,15769,0.0298,,
instant,15770,0.0055,,
instant,15770,0.0055,,
instant,15771,0.0185,,
instant,15771,0.0185,,
instant,15772,0.0732,,
instant,15772,0.0732,,
instant,15773,0.0196,,
instant,15773,0.0196,,
instant,15774,0.0113,,
instant,15774,0.0113,,
instant,15775,0.0377,,
instant,15775,0.0377,,
instant,15776,0.038,,
instant,15776,0.038,,
instant,15777,0.0217,,
instant,15777,0.0217,,
instant,15778,0.0163,,
instant,15778,0.0163,,
instant,15779,0.0253,,
instant,15779,0.0253,,
instant,15780,0.0116,,
instant,15780,0.0116,,
instant,15781,0.0122,,
instant,15781,0.0122,,
instant,15782,0.0722,,
instant,15782,0.0722,,
instant,15783,0.0104,,
instant,15783,0.0104,,
instant,15784,0.054,,
instant,15784,0.054,,
instant,15785,0.0361,,
instant,15785,0.0361,,
instant,15786,0.0334,,
instant,15786,0.0334,,
instant,15787,0.0129,,
instant,15787,0.0129,,
instant,15788,0.0715,,
instant,15788,0.0715,,
instant,15789,0.0198,,
instant,15789,0.0198,,
instant,15790,0.0465,,
instant,15790,0.0465,,
instant,15791,0.039,,
instant,15791,0.039,,
instant,15792,0.0547,,
instant,15792,0.0547,,
instant,15793,0.0933,,
instant,15793,0.0933,,
instant,15794,0.0053,,
instant,15794,0.0053,,
instant,15795,0.0295,,
instant,15795,0.0295,,
instant,15796,0.0215,,
instant,15796,0.0215,,
instant,15797,0.0494,,
instant,15797,0.0494,,
instant,15798,0.0095,,
instant,15798,0.0095,,
instant,15799,0.0209,,
instant,15799,0.0209,,
instant,15800,0.0079,,
instant,15800,0.0079,,
instant,15801,0.0326,,
instant,15801,0.0326,,
instant,15802,0.0167,,
instant,15802,0.0167,,
instant,15803,0.008,,
instant,15803,0.008,,
instant,15804,0.0059,,
instant,15804,0.0059,,
instant,15805,0.0277,,
instant,15805,0.0277,,
instant,15806,0.0135,,
instant,15806,0.0135,,
instant,15807,0.097,,
instant,15807,0.097,,
instant,15808,0.0041,,
instant,15808,0.0041,,
instant,15809,0.0416,,
instant,15809,0.0416,,
instant,15810,0.0121,,
instant,15810,0.0121,,
instant,15811,0.0158,,
instant,15811,0.0158,,
instant,15812,0.0841,,
instant,15812,0.0841,,
instant,15813,0.0412,,
instant,15813,0.0412,,
instant,15814,0.0249,,
instant,15814,0.0249,,
instant,15815,0.0253,,
instant,15815,0.0253,,
instant,15816,0.0025,,
instant,15816,0.0025,,
instant,15817,0.0055,,
instant,15817,0.0055,,
instant,15818,0.0277,,
instant,15818,0.0277,,
instant,15819,0.0126,,
instant,15819,0.0126,,
instant,15820,0.0753,,
instant,15820,0.0753,,
instant,15821,0.0267,,
instant,15821,0.0267,,
instant,15822,0.0057,,
instant,15822,0.0057,,
instant,15823,0.012,,
instant,15823,0.012,,
instant,15824,0.0077,,
instant,15824,0.0077,,
instant,15825,0.0226,,
instant,15825,0.0226,,
instant,15826,0.0099,,
instant,15826,0.0099,,
instant,15827,0.0323,,
instant,15827,0.0323,,
instant,15828,0.0386,,
instant,15828,0.0386,,
instant,15829,0.004,,
instant,15829,0.004,,
instant,15830,0.0352,,
instant,15830,0.0352,,
instant,15831,0.0939,,
instant,15831,0.0939,,
instant,15832,0.041,,
instant,15832,0.041,,
instant,15833,0.0145,,
instant,15833,0.0145,,
instant,15834,0.0327,,
instant,15834,0.0327,,
instant,15835,0.0119,,
instant,15835,0.0119,,
instant,15836,0.0303,,
instant,15836,0.0303,,
instant,15837,0.0183,,
instant,15837,0.0183,,
instant,15838,0.0165,,
instant,15838,0.0165,,
instant,15839,0.0092,,
instant,15839,0.0092,,
instant,15840,0.0088,,
instant,15840,0.0088,,
instant,15841,0.0149,,
instant,15841,0.0149,,
instant,15842,0.0121,,
instant,15842,0.0121,,
instant,15843,0.0269,,
instant,15843,0.0269,,
instant,15844,0.0029,,
instant,15844,0.0029,,
instant,15845,0.0615,,
instant,15845,0.0615,,
instant,15846,0.0072,,
instant,15846,0.0072,,
instant,15847,0.0094,,
instant,15847,0.0094,,
instant,15848,0.0094,,
instant,15848,0.0094,,
instant,15849,0.0156,,
instant,15849,0.0156,,
instant,15850,0.0102,,
instant,15850,0.0102,,
instant,15851,0.0237,,
instant,15851,0.0237,,
instant,15852,0.0348,,
instant,15852,0.0348,,
instant,15853,0.0028,,
instant,15853,0.0028,,
instant,15854,0.0074,,
instant,15854,0.0074,,
instant,15855,0.008,,
instant,15855,0.008,,
instant,15856,0.0082,,
instant,15856,0.0082,,
instant,15857,0.0282,,
instant,15857,0.0282,,
instant,15858,0.0121,,
instant,15858,0.0121,,
instant,15859,0.0294,,
instant,15859,0.0294,,
instant,15860,0.0707,,
instant,15860,0.0707,,
instant,15861,0.0279,,
instant,15861,0.0279,,
instant,15862,0.0399,,
instant,15862,0.0399,,
instant,15863,0.0309,,
instant,15863,0.0309,,
instant,15864,0.0073,,
instant,15864,0.0073,,
instant,15865,0.0589,,
instant,15865,0.0589,,
instant,15866,0.0181,,
instant,15866,0.0181,,
instant,15867,0.0096,,
instant,15867,0.0096,,
instant,15868,0.0333,,
instant,15868,0.0333,,
instant,15869,0.0302,,
instant,15869,0.0302,,
instant,15870,0.0271,,
instant,15870,0.0271,,
instant,15871,0.0102,,
instant,15871,0.0102,,
instant,15872,0.0121,,
instant,15872,0.0121,,
instant,15873,0.0285,,
instant,15873,0.0285,,
instant,15874,0.0133,,
instant,15874,0.0133,,
instant,15875,0.0144,,
instant,15875,0.0144,,
instant,15876,0.0533,,
instant,15876,0.0533,,
instant,15877,0.0269,,
instant,15877,0.0269,,
instant,15878,0.0116,,
instant,15878,0.0116,,
instant,15879,0.0063,,
instant,15879,0.0063,,
instant,15880,0.0127,,
instant,15880,0.0127,,
instant,15881,0.0215,,
instant,15881,0.0215,,
instant,15882,0.0303,,
instant,15882,0.0303,,
instant,15883,0.0101,,
instant,15883,0.0101,,
instant,15884,0.0279,,
instant,15884,0.0279,,
instant,15885,0.0521,,
instant,15885,0.0521,,
instant,15886,0.0175,,
instant,15886,0.0175,,
instant,15887,0.0138,,
instant,15887,0.0138,,
instant,15888,0.0452,,
instant,15888,0.0452,,
instant,15889,0.0569,,
instant,15889,0.0569,,
instant,15890,0.0306,,
instant,15890,0.0306,,
instant,15891,0.0055,,
instant,15891,0.0055,,
instant,15892,0.0227,,
instant,15892,0.0227,,
instant,15893,0.0791,,
instant,15893,0.0791,,
instant,15894,0.0136,,
instant,15894,0.0136,,
instant,15895,0.0231,,
instant,15895,0.0231,,
instant,15896,0.0319,,
instant,15896,0.0319,,
instant,15897,0.0208,,
instant,15897,0.0208,,
instant,15898,0.0335,,
instant,15898,0.0335,,
instant,15899,0.0106,,
instant,15899,0.0106,,
instant,15900,0.0173,,
instant,15900,0.0173,,
instant,15901,0.0571,,
instant,15901,0.0571,,
instant,15902,0.0092,,
instant,15902,0.0092,,
instant,15903,0.0442,,
instant,15903,0.0442,,
instant,15904,0.0009,,
instant,15904,0.0009,,
instant,15905,0.0285,,
instant,15905,0.0285,,
instant,15906,0.0334,,
instant,15906,0.0334,,
instant,15907,0.0148,,
instant,15907,0.0148,,
instant,15908,0.0166,,
instant,15908,0.0166,,
instant,15909,0.0062,,
instant,15909,0.0062,,
instant,15910,0.0462,,
instant,15910,0.0462,,
instant,15911,0.0286,,
instant,15911,0.0286,,
instant,15912,0.0068,,
instant,15912,0.0068,,
instant,15913,0.0169,,
instant,15913,0.0169,,
instant,15914,0.0292,,
instant,15914,0.0292,,
instant,15915,0.0321,,
instant,15915,0.0321,,
instant,15916,0.0352,,
instant,15916,0.0352,,
instant,15917,0.0238,,
instant,15917,0.0238,,
instant,15918,0.0396,,
instant,15918,0.0396,,
instant,15919,0.0091,,
instant,15919,0.0091,,
instant,15920,0.0089,,
instant,15920,0.0089,,
instant,15921,0.0109,,
instant,15921,0.0109,,
instant,15922,0.024,,
instant,15922,0.024,,
instant,15923,0.0208,,
instant,15923,0.0208,,
instant,15924,0.0539,,
instant,15924,0.0539,,
instant,15925,0.0135,,
instant,15925,0.0135,,
instant,15926,0.031,,
instant,15926,0.031,,
instant,15927,0.0383,,
instant,15927,0.0383,,
instant,15928,0.0341,,
instant,15928,0.0341,,
instant,15929,0.0111,,
instant,15929,0.0111,,
instant,15930,0.0538,,
instant,15930,0.0538,,
instant,15931,0.0129,,
instant,15931,0.0129,,
instant,15932,0.0108,,
instant,15932,0.0108,,
instant,15933,0.0748,,
instant,15933,0.0748,,
instant,15934,0.0395,,
instant,15934,0.0395,,
instant,15935,0.0111,,
instant,15935,0.0111,,
instant,15936,0.0355,,
instant,15936,0.0355,,
instant,15937,0.0184,,
instant,15937,0.0184,,
instant,15938,0.0244,,
instant,15938,0.0244,,
instant,15939,0.0082,,
instant,15939,0.0082,,
instant,15940,0.0257,,
instant,15940,0.0257,,
instant,15941,0.0265,,
instant,15941,0.0265,,
instant,15942,0.0366,,
instant,15942,0.0366,,
instant,15943,0.022,,
instant,15943,0.022,,
instant,15944,0.037,,
instant,15944,0.037,,
instant,15945,0.0119,,
instant,15945,0.0119,,
instant,15946,0.0217,,
instant,15946,0.0217,,
instant,15947,0.0114,,
instant,15947,0.0114,,
instant,15948,0.0292,,
instant,15948,0.0292,,
instant,15949,0.0081,,
instant,15949,0.0081,,
instant,15950,0.0327,,
instant,15950,0.0327,,
instant,15951,0.0038,,
instant,15951,0.0038,,
instant,15952,0.0187,,
instant,15952,0.0187,,
instant,15953,0.0113,,
instant,15953,0.0113,,
instant,15954,0.0265,,
instant,15954,0.0265,,
instant,15955,0.0103,,
instant,15955,0.0103,,
instant,15956,0.0199,,
instant,15956,0.0199,,
instant,15957,0.0066,,
instant,15957,0.0066,,
instant,15958,0.0334,,
instant,15958,0.0334,,
instant,15959,0.0096,,
instant,15959,0.0096,,
instant,15960,0.0326,,
instant,15960,0.0326,,
instant,15961,0.0137,,
instant,15961,0.0137,,
instant,15962,0.0336,,
instant,15962,0.0336,,
instant,15963,0.014,,
instant,15963,0.014,,
instant,15964,0.0464,,
instant,15964,0.0464,,
instant,15965,0.0247,,
instant,15965,0.0247,,
instant,15966,0.0334,,
instant,15966,0.0334,,
instant,15967,0.0299,,
instant,15967,0.0299,,
instant,15968,0.0256,,
instant,15968,0.0256,,
instant,15969,0.0247,,
instant,15969,0.0247,,
instant,15970,0.0155,,
instant,15970,0.0155,,
instant,15971,0.0128,,
instant,15971,0.0128,,
instant,15972,0.0306,,
instant,15972,0.0306,,
instant,15973,0.0181,,
instant,15973,0.0181,,
instant,15974,0.0412,,
instant,15974,0.0412,,
instant,15975,0.0167,,
instant,15975,0.0167,,
instant,15976,0.0242,,
instant,15976,0.0242,,
instant,15977,0.0736,,
instant,15977,0.0736,,
instant,15978,0.0547,,
instant,15978,0.0547,,
instant,15979,0.0305,,
instant,15979,0.0305,,
instant,15980,0.0114,,
instant,15980,0.0114,,
instant,15981,0.0098,,
instant,15981,0.0098,,
instant,15982,0.0169,,
instant,15982,0.0169,,
instant,15983,0.0138,,
instant,15983,0.0138,,
instant,15984,0.0049,,
instant,15984,0.0049,,
instant,15985,0.0825,,
instant,15985,0.0825,,
instant,15986,0.0059,,
instant,15986,0.0059,,
instant,15987,0.0237,,
instant,15987,0.0237,,
instant,15988,0.0081,,
instant,15988,0.0081,,
instant,15989,0.051,,
instant,15989,0.051,,
instant,15990,0.0637,,
instant,15990,0.0637,,
instant,15991,0.0291,,
instant,15991,0.0291,,
instant,15992,0.0228,,
instant,15992,0.0228,,
instant,15993,0.02,,
instant,15993,0.02,,
instant,15994,0.0558,,
instant,15994,0.0558,,
instant,15995,0.0212,,
instant,15995,0.0212,,
instant,15996,0.0551,,
instant,15996,0.0551,,
instant,15997,0.0441,,
instant,15997,0.0441,,
instant,15998,0.0041,,
instant,15998,0.0041,,
instant,15999,0.0236,,
instant,15999,0.0236,,
instant,16000,0.0095,,
instant,16000,0.0095,,
instant,16001,0.0117,,
instant,16001,0.0117,,
instant,16002,0.0259,,
instant,16002,0.0259,,
instant,16003,0.0045,,
instant,16003,0.0045,,
instant,16004,0.0278,,
instant,16004,0.0278,,
instant,16005,0.0073,,
instant,16005,0.0073,,
instant,16006,0.0323,,
instant,16006,0.0323,,
instant,16007,0.0078,,
instant,16007,0.0078,,
instant,16008,0.022,,
instant,16008,0.022,,
instant,16009,0.0122,,
instant,16009,0.0122,,
instant,16010,0.049,,
instant,16010,0.049,,
instant,16011,0.0076,,
instant,16011,0.0076,,
instant,16012,0.0697,,
instant,16012,0.0697,,
instant,16013,0.0178,,
instant,16013,0.0178,,
instant,16014,0.0484,,
instant,16014,0.0484,,
instant,16015,0.0199,,
instant,16015,0.0199,,
instant,16016,0.0092,,
instant,16016,0.0092,,
instant,16017,0.0256,,
instant,16017,0.0256,,
instant,16018,0.0535,,
instant,16018,0.0535,,
instant,16019,0.0481,,
instant,16019,0.0481,,
instant,16020,0.0075,,
instant,16020,0.0075,,
instant,16021,0.0236,,
instant,16021,0.0236,,
instant,16022,0.0161,,
instant,16022,0.0161,,
instant,16023,0.0148,,
instant,16023,0.0148,,
instant,16024,0.01,,
instant,16024,0.01,,
instant,16025,0.0432,,
instant,16025,0.0432,,
instant,16026,0.0255,,
instant,16026,0.0255,,
instant,16027,0.0596,,
instant,16027,0.0596,,
instant,16028,0.012,,
instant,16028,0.012,,
instant,16029,0.006,,
instant,16029,0.006,,
instant,16030,0.0316,,
instant,16030,0.0316,,
instant,16031,0.0235,,
instant,16031,0.0235,,
instant,16032,0.0233,,
instant,16032,0.0233,,
instant,16033,0.0257,,
instant,16033,0.0257,,
instant,16034,0.0206,,
instant,16034,0.0206,,
instant,16035,0.0248,,
instant,16035,0.0248,,
instant,16036,0.0379,,
instant,16036,0.0379,,
instant,16037,0.0145,,
instant,16037,0.0145,,
instant,16038,0.0074,,
instant,16038,0.0074,,
instant,16039,0.0282,,
instant,16039,0.0282,,
instant,16040,0.0194,,
instant,16040,0.0194,,
instant,16041,0.0193,,
instant,16041,0.0193,,
instant,16042,0.016,,
instant,16042,0.016,,
instant,16043,0.0107,,
instant,16043,0.0107,,
instant,16044,0.0356,,
instant,16044,0.0356,,
instant,16045,0.0232,,
instant,16045,0.0232,,
instant,16046,0.0246,,
instant,16046,0.0246,,
instant,16047,0.021,,
instant,16047,0.021,,
instant,16048,0.0065,,
instant,16048,0.0065,,
instant,16049,0.0468,,
instant,16049,0.0468,,
instant,16050,0.0328,,
instant,16050,0.0328,,
instant,16051,0.0279,,
instant,16051,0.0279,,
instant,16052,0.0276,,
instant,16052,0.0276,,
instant,16053,0.0872,,
instant,16053,0.0872,,
instant,16054,0.0053,,
instant,16054,0.0053,,
instant,16055,0.0375,,
instant,16055,0.0375,,
instant,16056,0.0534,,
instant,16056,0.0534,,
instant,16057,0.0034,,
instant,16057,0.0034,,
instant,16058,0.0103,,
instant,16058,0.0103,,
instant,16059,0.1326,,
instant,16059,0.1326,,
instant,16060,0.0122,,
instant,16060,0.0122,,
instant,16061,0.0159,,
instant,16061,0.0159,,
instant,16062,0.0969,,
instant,16062,0.0969,,
instant,16063,0.0416,,
instant,16063,0.0416,,
instant,16064,0.007,,
instant,16064,0.007,,
instant,16065,0.0093,,
instant,16065,0.0093,,
instant,16066,0.0451,,
instant,16066,0.0451,,
instant,16067,0.0111,,
instant,16067,0.0111,,
instant,16068,0.0586,,
instant,16068,0.0586,,
instant,16069,0.0079,,
instant,16069,0.0079,,
instant,16070,0.0296,,
instant,16070,0.0296,,
instant,16071,0.0052,,
instant,16071,0.0052,,
instant,16072,0.0498,,
instant,16072,0.0498,,
instant,16073,0.0795,,
instant,16073,0.0795,,
instant,16074,0.0169,,
instant,16074,0.0169,,
instant,16075,0.0333,,
instant,16075,0.0333,,
instant,16076,0.0177,,
instant,16076,0.0177,,
instant,16077,0.0387,,
instant,16077,0.0387,,
instant,16078,0.0589,,
instant,16078,0.0589,,
instant,16079,0.0839,,
instant,16079,0.0839,,
instant,16080,0.016,,
instant,16080,0.016,,
instant,16081,0.045,,
instant,16081,0.045,,
instant,16082,0.0107,,
instant,16082,0.0107,,
instant,16083,0.0267,,
instant,16083,0.0267,,
instant,16084,0.0671,,
instant,16084,0.0671,,
instant,16085,0.0076,,
instant,16085,0.0076,,
instant,16086,0.0125,,
instant,16086,0.0125,,
instant,16087,0.0417,,
instant,16087,0.0417,,
instant,16088,0.0407,,
instant,16088,0.0407,,
instant,16089,0.0258,,
instant,16089,0.0258,,
instant,16090,0.0528,,
instant,16090,0.0528,,
instant,16091,0.0589,,
instant,16091,0.0589,,
instant,16092,0.073,,
instant,16092,0.073,,
instant,16093,0.0736,,
instant,16093,0.0736,,
instant,16094,0.068,,
instant,16094,0.068,,
instant,16095,0.034,,
instant,16095,0.034,,
instant,16096,0.0045,,
instant,16096,0.0045,,
instant,16097,0.0447,,
instant,16097,0.0447,,
instant,16098,0.02,,
instant,16098,0.02,,
instant,16099,0.0932,,
instant,16099,0.0932,,
instant,16100,0.014,,
instant,16100,0.014,,
instant,16101,0.0055,,
instant,16101,0.0055,,
instant,16102,0.0585,,
instant,16102,0.0585,,
instant,16103,0.1,,
instant,16103,0.1,,
instant,16104,0.0565,,
instant,16104,0.0565,,
instant,16105,0.0504,,
instant,16105,0.0504,,
instant,16106,0.0314,,
instant,16106,0.0314,,
instant,16107,0.0514,,
instant,16107,0.0514,,
instant,16108,0.0386,,
instant,16108,0.0386,,
instant,16109,0.0044,,
instant,16109,0.0044,,
instant,16110,0.0511,,
instant,16110,0.0511,,
instant,16111,0.0261,,
instant,16111,0.0261,,
instant,16112,0.0774,,
instant,16112,0.0774,,
instant,16113,0.0336,,
instant,16113,0.0336,,
instant,16114,0.0082,,
instant,16114,0.0082,,
instant,16115,0.0073,,
instant,16115,0.0073,,
instant,16116,0.028,,
instant,16116,0.028,,
instant,16117,0.0118,,
instant,16117,0.0118,,
instant,16118,0.0089,,
instant,16118,0.0089,,
instant,16119,0.0104,,
instant,16119,0.0104,,
instant,16120,0.0232,,
instant,16120,0.0232,,
instant,16121,0.0123,,
instant,16121,0.0123,,
instant,16122,0.0394,,
instant,16122,0.0394,,
instant,16123,0.0639,,
instant,16123,0.0639,,
instant,16124,0.004,,
instant,16124,0.004,,
instant,16125,0.0239,,
instant,16125,0.0239,,
instant,16126,0.029,,
instant,16126,0.029,,
instant,16127,0.0198,,
instant,16127,0.0198,,
instant,16128,0.0693,,
instant,16128,0.0693,,
instant,16129,0.0386,,
instant,16129,0.0386,,
instant,16130,0.0807,,
instant,16130,0.0807,,
instant,16131,0.0035,,
instant,16131,0.0035,,
instant,16132,0.0105,,
instant,16132,0.0105,,
instant,16133,0.0095,,
instant,16133,0.0095,,
instant,16134,0.0402,,
instant,16134,0.0402,,
instant,16135,0.0135,,
instant,16135,0.0135,,
instant,16136,0.0161,,
instant,16136,0.0161,,
instant,16137,0.0071,,
instant,16137,0.0071,,
instant,16138,0.0068,,
instant,16138,0.0068,,
instant,16139,0.065,,
instant,16139,0.065,,
instant,16140,0.0243,,
instant,16140,0.0243,,
instant,16141,0.0573,,
instant,16141,0.0573,,
instant,16142,0.0358,,
instant,16142,0.0358,,
instant,16143,0.0317,,
instant,16143,0.0317,,
instant,16144,0.0151,,
instant,16144,0.0151,,
instant,16145,0.0281,,
instant,16145,0.0281,,
instant,16146,0.0052,,
instant,16146,0.0052,,
instant,16147,0.0544,,
instant,16147,0.0544,,
instant,16148,0.0368,,
instant,16148,0.0368,,
instant,16149,0.0078,,
instant,16149,0.0078,,
instant,16150,0.0666,,
instant,16150,0.0666,,
instant,16151,0.033,,
instant,16151,0.033,,
instant,16152,0.0399,,
instant,16152,0.0399,,
instant,16153,0.0124,,
instant,16153,0.0124,,
instant,16154,0.0231,,
instant,16154,0.0231,,
instant,16155,0.0328,,
instant,16155,0.0328,,
instant,16156,0.0312,,
instant,16156,0.0312,,
instant,16157,0.0113,,
instant,16157,0.0113,,
instant,16158,0.0188,,
instant,16158,0.0188,,
instant,16159,0.0663,,
instant,16159,0.0663,,
instant,16160,0.0155,,
instant,16160,0.0155,,
instant,16161,0.032,,
instant,16161,0.032,,
instant,16162,0.0079,,
instant,16162,0.0079,,
instant,16163,0.0202,,
instant,16163,0.0202,,
instant,16164,0.0102,,
instant,16164,0.0102,,
instant,16165,0.0038,,
instant,16165,0.0038,,
instant,16166,0.0207,,
instant,16166,0.0207,,
instant,16167,0.0115,,
instant,16167,0.0115,,
instant,16168,0.0158,,
instant,16168,0.0158,,
instant,16169,0.08,,
instant,16169,0.08,,
instant,16170,0.0191,,
instant,16170,0.0191,,
instant,16171,0.0113,,
instant,16171,0.0113,,
instant,16172,0.0103,,
instant,16172,0.0103,,
instant,16173,0.0562,,
instant,16173,0.0562,,
instant,16174,0.0667,,
instant,16174,0.0667,,
instant,16175,0.0314,,
instant,16175,0.0314,,
instant,16176,0.006,,
instant,16176,0.006,,
instant,16177,0.0102,,
instant,16177,0.0102,,
instant,16178,0.0855,,
instant,16178,0.0855,,
instant,16179,0.0212,,
instant,16179,0.0212,,
instant,16180,0.0417,,
instant,16180,0.0417,,
instant,16181,0.0099,,
instant,16181,0.0099,,
instant,16182,0.0209,,
instant,16182,0.0209,,
instant,16183,0.016,,
instant,16183,0.016,,
instant,16184,0.0362,,
instant,16184,0.0362,,
instant,16185,0.032,,
instant,16185,0.032,,
instant,16186,0.107,,
instant,16186,0.107,,
instant,16187,0.0194,,
instant,16187,0.0194,,
instant,16188,0.0466,,
instant,16188,0.0466,,
instant,16189,0.0971,,
instant,16189,0.0971,,
instant,16190,0.0397,,
instant,16190,0.0397,,
instant,16191,0.0078,,
instant,16191,0.0078,,
instant,16192,0.0334,,
instant,16192,0.0334,,
instant,16193,0.0426,,
instant,16193,0.0426,,
instant,16194,0.0437,,
instant,16194,0.0437,,
instant,16195,0.0503,,
instant,16195,0.0503,,
instant,16196,0.0595,,
instant,16196,0.0595,,
instant,16197,0.0577,,
instant,16197,0.0577,,
instant,16198,0.0402,,
instant,16198,0.0402,,
instant,16199,0.0647,,
instant,16199,0.0647,,
instant,16200,0.0122,,
instant,16200,0.0122,,
instant,16201,0.0244,,
instant,16201,0.0244,,
instant,16202,0.0299,,
instant,16202,0.0299,,
instant,16203,0.0188,,
instant,16203,0.0188,,
instant,16204,0.0104,,
instant,16204,0.0104,,
instant,16205,0.0167,,
instant,16205,0.0167,,
instant,16206,0.022,,
instant,16206,0.022,,
instant,16207,0.0181,,
instant,16207,0.0181,,
instant,16208,0.0047,,
instant,16208,0.0047,,
instant,16209,0.0088,,
instant,16209,0.0088,,
instant,16210,0.0369,,
instant,16210,0.0369,,
instant,16211,0.0105,,
instant,16211,0.0105,,
instant,16212,0.0208,,
instant,16212,0.0208,,
instant,16213,0.0461,,
instant,16213,0.0461,,
instant,16214,0.0578,,
instant,16214,0.0578,,
instant,16215,0.0499,,
instant,16215,0.0499,,
instant,16216,0.0069,,
instant,16216,0.0069,,
instant,16217,0.1137,,
instant,16217,0.1137,,
instant,16218,0.1003,,
instant,16218,0.1003,,
instant,16219,0.0202,,
instant,16219,0.0202,,
instant,16220,0.016,,
instant,16220,0.016,,
instant,16221,0.0192,,
instant,16221,0.0192,,
instant,16222,0.016,,
instant,16222,0.016,,
instant,16223,0.0255,,
instant,16223,0.0255,,
instant,16224,0.0655,,
instant,16224,0.0655,,
instant,16225,0.0404,,
instant,16225,0.0404,,
instant,16226,0.062,,
instant,16226,0.062,,
instant,16227,0.0323,,
instant,16227,0.0323,,
instant,16228,0.0104,,
instant,16228,0.0104,,
instant,16229,0.0335,,
instant,16229,0.0335,,
instant,16230,0.0193,,
instant,16230,0.0193,,
instant,16231,0.014,,
instant,16231,0.014,,
instant,16232,0.0152,,
instant,16232,0.0152,,
instant,16233,0.0125,,
instant,16233,0.0125,,
instant,16234,0.031,,
instant,16234,0.031,,
instant,16235,0.0083,,
instant,16235,0.0083,,
instant,16236,0.0313,,
instant,16236,0.0313,,
instant,16237,0.0342,,
instant,16237,0.0342,,
instant,16238,0.0352,,
instant,16238,0.0352,,
instant,16239,0.0771,,
instant,16239,0.0771,,
instant,16240,0.0604,,
instant,16240,0.0604,,
instant,16241,0.0218,,
instant,16241,0.0218,,
instant,16242,0.043,,
instant,16242,0.043,,
instant,16243,0.0222,,
instant,16243,0.0222,,
instant,16244,0.0322,,
instant,16244,0.0322,,
instant,16245,0.0188,,
